id,smarts,ni_ids
0,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#6:8]-[#6:9]=[#6:10]>>[#6:10]-[#6:9]=[#6:8]-[#6:7].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1,['rule0631']
1,[#16:1].[#16:2].[#8:3]=[#16:4]-[#16:5]>>[#16:5].[#16:1]-[#16:2].[#8:3]-[#16:4],['rule0967']
2,[#6:1]-[#16+:2].[#7:3]:[#6:4]-[#7:5]>>[#16+0:2].[#6:1]-[#7:3]:[#6:4]=[#7:5],['rule0422']
3,[#6:1].[#6:2]1:[#6:3]-[#7:4]-[#6:5]:[#6:6]-[#7:7]-1.[#7:8]-[#6:9]-[#7:10]>>([#7:10].[#7:8]).[#6:1]-[#6:9].[#6:2]1:[#7:7]:[#6:6]:[#6:5]:[#7:4]:[#6:3]-1,['rule1019']
4,[#6:1]-[#7+:2]:[#6:3].[#6:4]=[#8:5].[#8:6]>>[#6:1]-[#8:6].[#7+0:2]:[#6:3]-[#6:4]-[#8:5],['rule0813']
5,[#6:1]-[#8:2].[#6:3]=[#8:4]>>[#6:1]-[#6:3].[#8:2]=[#8:4],['rule0443']
6,[#8:1]=[#6:2]-[#6:3]:[#6:4]-[#7:5]-[#6:6]=[#8:7]>>[#6:2]1:[#6:3]:[#6:4]:[#7:5]:[#6:6]:1.[#8:1]=[#8:7],['rule0404']
7,([#8:1].[#6:2]-[#8:3]).[#6:4]=[#6:5]-[#8:6].[#8:7]>>([#8:3].[#6:2]-[#6:4]-[#6:5](-[#8:1])-[#8:7]).[#8:6],['rule0286']
8,[#6:1]-[#8:2]-[#6:3]-[#7:4].[#8:5]>>[#6:1]-[#8:5].[#6:3]=[#8:2].[#7:4],"['rule0735', 'rule1224']"
9,[#6:1]-[#8:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1.[#8:9]>>[#6:1].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1.[#8:2]=[#8:9],['rule0005']
10,([#7:1].[#6:2]-[#8:3]).[#8:4]-[#15:5]>>[#6:2]-[#7:1].[#8:4].[#8:3]-[#15:5],['rule0346']
11,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#8:7]=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-[#6:13]=[#8:14]>>[#6:12]1:[#6:11]:[#6:10]:[#7:9]:[#6:8]:[#6:13]:1.[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:14]=[#8:7],['rule0688']
12,([#6:1].[#8:2]).[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:1]-[#8:2].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,['rule0107']
13,([#6:1].[#8:2]=[#6:3]-[#8:4])>>([#6:3].[#8:4]=[#6:1]-[#8:2]),['rule0449']
14,[#6:1]-[#7:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7:7]:[#6:8]-1>>[#6:3]1:[#6:8]-[#7:7]-[#6:6]:[#6:5]-[#6:4]-1.[#6:1]=[#7+:2],['rule0703']
15,[#6:1]-[#8:2].[#8:3]>>[#6:1].[#8:2]-[#8:3],['rule1164']
16,[#16:1]-[#16:2].[#6:3]>>[#16:1].[#6:3]-[#16:2],['rule0360']
17,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#8:8].[#7:9].[#8:10]>>[#6:7]-[#7+:9].[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:10]=[#8:8],['rule0488']
18,[#6:1]=[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]=[#6:7].[#8:8]>>([#6:3]=[#6:2]-[#6:1]-[#8:8].[#6:7]-[#6:6]-[#6:5]=[#6:4]),['rule1199']
19,([#7:1].[#6:2]-[#8:3]).[#8:4].[#8:5]-[#15:6]>>[#6:2]-[#7:1].[#8:3].[#8:5].[#8:4]-[#15:6],['rule0736']
20,[#6:1]-[#7:2].[#7:3]>>([#7:2].[#6:1]-[#7:3]),['rule0804']
21,[#6:1]=[#6:2]-[#16:3]>>[#6:1]-[#6:2]=[#16+:3],['rule0862']
22,[#16:1].[#6:2]1=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:7]-1.[#8:8]=[#8:9]>>[#6:2]1:[#6:7]:[#6:6]:[#6:5]:[#7+:4]:[#6:3]:1.[#8:8].[#8:9]=[#16:1],['rule0214']
23,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1.[#6:7]=[#8:8].[#8:9]-[#8:10]>>[#8:8]-[#6:7]-[#6:1]1-[#6:2]=[#6:3]-[#6:4]-[#6:5]=[#6:6]-1.[#8:10]=[#8:9],['rule0940']
24,([#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]-[#8:6]).[#8:7]>>[#6:1]1-[#6:2]-[#6:5]-[#6:4]-[#6:3]-[#8:7]-1.[#8:6],['rule1140']
25,([#7:1].[#8:2]).([Co-2:3].[#8:4]-[#15:5])>>([#7+:1]-[Co-3:3].[#8:2]-[#15:5]).[#8:4],['rule0775']
26,([#6:1].[#6:2]=[#6:3]-[#6:4]-[#8:5].[#6:6]=[#6:7]-[#6:8])>>[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:6]-[#6:7]=[#6:8].[#8:5],['rule0617']
27,[#6:1]-[#8:2].[#6:3]=[#8:4].[#6:5]=[#8:6].[#8:7]-[#16:8]>>[#6:3]-[#16:8]=[#8:7].[#6:1]-[#6:5]-[#8:6].[#8:2]=[#8:4],['rule1211']
28,[#8:1].[#8:2]=[#6:3]-[#6:4]-[#6:5]-[#8:6]>>([#6:5]=[#8:6].[#8:1]-[#6:4]-[#6:3]-[#8:2]),['rule0728']
29,[#6:1]-[#6:2]-[#8:3]-[#6:4]-[#8:5].[#6:6]-[#8:7]-[#15:8]>>([#6:4]=[#8:5].[#6:2]-[#8:3]-[#15:8]).[#6:1]-[#6:6]-[#8:7],['rule1029']
30,([#8:1].[#8:2]-[#6:3]=[#8:4]).[#6:5]1=[#6:6]-[#7:7]-[#6:8]=[#6:9]-[#6:10]-1>>([#8:2].[#8:1]-[#6:3]-[#8:4]).[#6:5]1:[#6:10]:[#6:9]:[#6:8]:[#7+:7]:[#6:6]:1,['rule0470']
31,[#6:1]=[#8:2].[#6:3]=[#8:4]>>[#6:1]=[#6:3].[#8:2]=[#8:4],['rule0117']
32,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#7:7]-[#8:8].[#8:9]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#7:7].[#8:8]=[#8:9],['rule0133']
33,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#6:8]-[#6:9]-[#8:10]>>[#6:7]-[#6:8]=[#6:9].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#8:10],['rule0878']
34,([#6:1].[#6:2]=[#8:3])>>[#6:1]=[#6:2].[#8:3],['rule1097']
35,[#6:1]-[#8:2]-[#6:3]-[#8:4]>>([#6:1]-[#8:4].[#6:3]=[#8:2]),['rule0772']
36,[#6:1]-[#6:2]-[#8:3]-[#6:4]-[#6:5]=[#6:6]>>[#6:1]-[#6:6]-[#6:5]=[#6:4].[#6:2]=[#8:3],['rule0645']
37,[#16:1].[#8:2]-[#6:3]1:[#6:4]:[#6:5]:[#8:6]:[#6:7]:[#6:8]:1>>[#8:6]=[#6:5]-[#6:4]-[#6:3](=[#8:2])-[#6:8]-[#6:7]-[#16:1],['rule0890']
38,[#6:1]-[#6:2]1(-[#8:3])-[#6:4]-[#6:5]-[#6:6]-[#6:7]-1.[#8:8]>>([#6:4]=[#6:5].[#6:6]-[#6:7]=[#6:2]-[#6:1]-[#8:8]).[#8:3],['rule1107']
39,[#16:1].[#6:2]-[#8:3]-[#6:4]-[#6:5]1-[#6:6]=[#7:7]-[#6:8]:[#6:9]-1>>([#6:4]=[#8:3].[#6:5]1:[#6:9]:[#6:8]:[#7:7]:[#6:6]:1).[#6:2]-[#16:1],['rule1020']
